"","step","S","E","I","R","simu","Langage"
"181",180,0.29355,0.0026,0.00295,0.7009,"Netlogo_H_6","Net_H"
"182",181,0.29525,0.00255,0.00315,0.69905,"Netlogo_H_6","Net_H"
"183",182,0.2966,0.00285,0.0034,0.69715,"Netlogo_H_6","Net_H"
"184",183,0.2978,0.0031,0.0037,0.6954,"Netlogo_H_6","Net_H"
"185",184,0.2996,0.0033,0.00385,0.69325,"Netlogo_H_6","Net_H"
"186",185,0.30065,0.00365,0.00415,0.69155,"Netlogo_H_6","Net_H"
"187",186,0.302,0.00345,0.0044,0.69015,"Netlogo_H_6","Net_H"
"188",187,0.30315,0.0034,0.00445,0.689,"Netlogo_H_6","Net_H"
"189",188,0.30445,0.00335,0.0049,0.6873,"Netlogo_H_6","Net_H"
"190",189,0.30585,0.0037,0.00485,0.6856,"Netlogo_H_6","Net_H"
"191",190,0.3065,0.00405,0.00505,0.6844,"Netlogo_H_6","Net_H"
"192",191,0.3076,0.00425,0.00515,0.683,"Netlogo_H_6","Net_H"
"193",192,0.3083,0.00395,0.0057,0.68205,"Netlogo_H_6","Net_H"
"194",193,0.309,0.00475,0.00545,0.6808,"Netlogo_H_6","Net_H"
"195",194,0.30955,0.00505,0.00565,0.67975,"Netlogo_H_6","Net_H"
"196",195,0.3103,0.0052,0.0055,0.679,"Netlogo_H_6","Net_H"
"197",196,0.3113,0.00485,0.00615,0.6777,"Netlogo_H_6","Net_H"
"198",197,0.31195,0.00465,0.0067,0.6767,"Netlogo_H_6","Net_H"
"199",198,0.312,0.0057,0.0066,0.6757,"Netlogo_H_6","Net_H"
"200",199,0.3128,0.0061,0.0069,0.6742,"Netlogo_H_6","Net_H"
"201",200,0.3133,0.0063,0.00705,0.67335,"Netlogo_H_6","Net_H"
"202",201,0.31365,0.00695,0.0072,0.6722,"Netlogo_H_6","Net_H"
"203",202,0.31455,0.00665,0.00785,0.67095,"Netlogo_H_6","Net_H"
"204",203,0.31585,0.0067,0.00865,0.6688,"Netlogo_H_6","Net_H"
"205",204,0.31645,0.00665,0.0094,0.6675,"Netlogo_H_6","Net_H"
"206",205,0.3167,0.00675,0.00995,0.6666,"Netlogo_H_6","Net_H"
"207",206,0.31615,0.00775,0.00955,0.66655,"Netlogo_H_6","Net_H"
"208",207,0.3159,0.0086,0.00975,0.66575,"Netlogo_H_6","Net_H"
"209",208,0.31605,0.0091,0.01025,0.6646,"Netlogo_H_6","Net_H"
"210",209,0.3156,0.00955,0.01115,0.6637,"Netlogo_H_6","Net_H"
"211",210,0.316,0.0099,0.0114,0.6627,"Netlogo_H_6","Net_H"
"212",211,0.3155,0.01055,0.0117,0.66225,"Netlogo_H_6","Net_H"
"213",212,0.3148,0.01115,0.01215,0.6619,"Netlogo_H_6","Net_H"
"214",213,0.3146,0.01105,0.01315,0.6612,"Netlogo_H_6","Net_H"
"215",214,0.3138,0.01065,0.01465,0.6609,"Netlogo_H_6","Net_H"
"216",215,0.3129,0.01085,0.0159,0.66035,"Netlogo_H_6","Net_H"
"217",216,0.31105,0.0123,0.0161,0.66055,"Netlogo_H_6","Net_H"
"218",217,0.3096,0.0133,0.0172,0.6599,"Netlogo_H_6","Net_H"
"219",218,0.30805,0.0142,0.01815,0.6596,"Netlogo_H_6","Net_H"
"220",219,0.306,0.0154,0.01925,0.65935,"Netlogo_H_6","Net_H"
"221",220,0.3039,0.01645,0.02085,0.6588,"Netlogo_H_6","Net_H"
"222",221,0.30165,0.01705,0.02245,0.65885,"Netlogo_H_6","Net_H"
"223",222,0.299,0.01845,0.02315,0.6594,"Netlogo_H_6","Net_H"
"224",223,0.2965,0.01875,0.0246,0.66015,"Netlogo_H_6","Net_H"
"225",224,0.293,0.02025,0.0257,0.66105,"Netlogo_H_6","Net_H"
"226",225,0.29005,0.0208,0.0271,0.66205,"Netlogo_H_6","Net_H"
"227",226,0.2861,0.0223,0.0277,0.6639,"Netlogo_H_6","Net_H"
"228",227,0.2831,0.0227,0.02985,0.66435,"Netlogo_H_6","Net_H"
"229",228,0.27995,0.0225,0.0314,0.66615,"Netlogo_H_6","Net_H"
"230",229,0.27675,0.0229,0.03235,0.668,"Netlogo_H_6","Net_H"
"231",230,0.2714,0.02545,0.033,0.67015,"Netlogo_H_6","Net_H"
"232",231,0.2669,0.02625,0.03465,0.6722,"Netlogo_H_6","Net_H"
"233",232,0.2625,0.02665,0.03665,0.6742,"Netlogo_H_6","Net_H"
"234",233,0.25815,0.0275,0.03805,0.6763,"Netlogo_H_6","Net_H"
"235",234,0.25415,0.0278,0.0389,0.67915,"Netlogo_H_6","Net_H"
"236",235,0.24915,0.0284,0.04075,0.6817,"Netlogo_H_6","Net_H"
"237",236,0.2445,0.0294,0.042,0.6841,"Netlogo_H_6","Net_H"
"238",237,0.2401,0.02995,0.0417,0.68825,"Netlogo_H_6","Net_H"
"239",238,0.23425,0.0299,0.045,0.69085,"Netlogo_H_6","Net_H"
"240",239,0.2289,0.03085,0.046,0.69425,"Netlogo_H_6","Net_H"
"241",240,0.2243,0.0314,0.04715,0.69715,"Netlogo_H_6","Net_H"
