step,S,E,I,R
214,0.16175,0.02415,0.044,0.7701
215,0.1598,0.0239,0.0444,0.7719
216,0.15725,0.0253,0.0439,0.77355
217,0.1549,0.0256,0.04385,0.77565
218,0.1531,0.0258,0.0436,0.7775
219,0.15145,0.0248,0.04405,0.7797
220,0.15005,0.0246,0.0442,0.78115
221,0.1472,0.0251,0.0447,0.783
222,0.14585,0.02515,0.04385,0.78515
223,0.14525,0.0244,0.0439,0.78645
224,0.1445,0.02295,0.0456,0.78695
225,0.14315,0.0227,0.0452,0.78895
226,0.14185,0.02235,0.04505,0.79075
227,0.1409,0.02265,0.0432,0.79325
228,0.13875,0.02325,0.04265,0.79535
229,0.1384,0.0231,0.04225,0.79625
230,0.13795,0.02255,0.04165,0.79785
231,0.13815,0.0215,0.04095,0.7994
232,0.13815,0.02045,0.04115,0.80025
233,0.1375,0.0212,0.03985,0.80145
234,0.13695,0.0206,0.03945,0.803
235,0.13655,0.0201,0.0392,0.80415
236,0.1359,0.01965,0.03795,0.8065
237,0.13675,0.01845,0.03745,0.80735
238,0.13735,0.01825,0.0369,0.8075
239,0.1374,0.01845,0.03545,0.8087
240,0.13795,0.0181,0.0351,0.80885
241,0.13915,0.0176,0.03405,0.8092
242,0.13995,0.0171,0.03415,0.8088
243,0.141,0.0165,0.0343,0.8082
244,0.1405,0.01655,0.03435,0.8086
245,0.14065,0.017,0.03335,0.809
246,0.14225,0.01625,0.0333,0.8082
247,0.14175,0.01625,0.03375,0.80825
248,0.1414,0.0174,0.03285,0.80835
249,0.14145,0.0167,0.03225,0.8096
250,0.1417,0.01635,0.0323,0.80965
251,0.1418,0.0161,0.03265,0.80945
252,0.1427,0.01695,0.03125,0.8091
253,0.1441,0.01695,0.03035,0.8086
254,0.14615,0.0163,0.0302,0.80735
255,0.14685,0.01625,0.0303,0.8066
256,0.14755,0.0161,0.0306,0.80575
257,0.14875,0.0157,0.0303,0.80525
258,0.1498,0.01465,0.03015,0.8054
259,0.15085,0.0148,0.0297,0.80465
260,0.15165,0.01505,0.02905,0.80425
261,0.15265,0.01575,0.0284,0.8032
262,0.15395,0.0152,0.02845,0.8024
263,0.15565,0.01565,0.0281,0.8006
264,0.15645,0.0159,0.02805,0.7996
265,0.15635,0.016,0.0283,0.79935
266,0.15755,0.01615,0.02775,0.79855
267,0.1591,0.0158,0.028,0.7971
268,0.1595,0.01615,0.0279,0.79645
269,0.1612,0.0161,0.0274,0.7953
270,0.1623,0.0159,0.027,0.7948
271,0.1636,0.01555,0.0271,0.79375
272,0.1644,0.01525,0.02765,0.7927
273,0.16555,0.0166,0.0273,0.79055
274,0.16655,0.01705,0.02655,0.78985
275,0.1678,0.0157,0.02755,0.78895
276,0.16905,0.015,0.028,0.78795
277,0.1708,0.0157,0.0279,0.7856
278,0.172,0.0154,0.0278,0.7848
279,0.1726,0.01455,0.02805,0.7848
280,0.1721,0.0157,0.0278,0.7844
281,0.17255,0.01665,0.027,0.7838
282,0.1739,0.0156,0.02755,0.78295
283,0.1749,0.01595,0.02695,0.7822
284,0.1752,0.0166,0.0277,0.7805
285,0.1772,0.0164,0.02845,0.77795
286,0.17815,0.0164,0.02845,0.777
287,0.1808,0.0158,0.02815,0.77525
288,0.18165,0.0161,0.02815,0.7741
289,0.1817,0.0165,0.0283,0.7735
290,0.1839,0.01705,0.02845,0.7706
291,0.18365,0.0177,0.0284,0.77025
292,0.18425,0.01745,0.02875,0.76955
293,0.18555,0.0176,0.02975,0.7671
294,0.18565,0.0184,0.02925,0.7667
295,0.1868,0.0172,0.0307,0.7653
296,0.18725,0.01715,0.0319,0.7637
297,0.18715,0.0177,0.0326,0.76255
298,0.1864,0.0188,0.03205,0.76275
299,0.18555,0.02015,0.03135,0.76295
300,0.18565,0.02055,0.03135,0.76245
301,0.18595,0.02035,0.0325,0.7612
302,0.18625,0.021,0.03265,0.7601
303,0.1859,0.02105,0.0333,0.75975
304,0.1859,0.0215,0.03305,0.75955
305,0.18495,0.0225,0.0333,0.75925
306,0.18405,0.0225,0.0345,0.75895
307,0.18275,0.0231,0.03655,0.7576
308,0.1817,0.02325,0.03695,0.7581
309,0.18135,0.02335,0.03775,0.75755
310,0.1813,0.02325,0.03775,0.7577
311,0.17935,0.0235,0.03895,0.7582
312,0.17895,0.02365,0.039,0.7584
313,0.179,0.02375,0.0391,0.75815
314,0.1792,0.02375,0.039,0.75805
315,0.17775,0.02475,0.0398,0.7577
316,0.1772,0.0244,0.04065,0.75775
317,0.1749,0.02585,0.04055,0.7587
318,0.1745,0.026,0.04095,0.75855
319,0.1735,0.0259,0.04145,0.75915
320,0.1723,0.0248,0.04315,0.75975
321,0.17065,0.02635,0.04275,0.76025
322,0.17,0.0254,0.0439,0.7607
323,0.1695,0.02495,0.0444,0.76115
324,0.16805,0.02625,0.0442,0.7615
325,0.16735,0.02665,0.04345,0.76255
