Ttimestamp,Average S,Average E,Average I,Average R,STD S,STD E,STD I,STD R
19,0.91423,0.02916,0.02991,0.0267,0.00844170204007069,0.0039802847469329,0.00356540476118927,0.00292878435153184
20,0.90462,0.03072,0.03313,0.03153,0.00930744027348254,0.0037578953920749,0.00398637958832601,0.00349699871318249
21,0.89459,0.03211,0.03631,0.03699,0.0103284343225658,0.00420329236036071,0.00408178882354293,0.00412134012724556
22,0.88373,0.03354,0.04023,0.0425,0.011051400112404,0.00393677815252806,0.00464998207881851,0.00443220537029191
23,0.87265,0.03535,0.04357,0.04843,0.0124372424596451,0.00472234640359594,0.00508113067032219,0.005036764834693
24,0.8609,0.03793,0.04685,0.05432,0.0136183699465098,0.00478494165760322,0.00502244960153907,0.00591115705913637
25,0.84867,0.03919,0.05087,0.06127,0.0153282636546566,0.00537286391663391,0.00577793696361907,0.00617144859638139
26,0.8359,0.04101,0.05381,0.06928,0.0169142280672548,0.00576607896812614,0.0061487939196778,0.00706506271105297
27,0.82341,0.04214,0.05714,0.07731,0.0183555289884123,0.00645018518252685,0.00647665894664148,0.00747996583474075
28,0.81074,0.04316,0.06078,0.08532,0.0199722696646013,0.00683003172271794,0.00696033204827343,0.00828865355638524
29,0.79821,0.0438,0.06403,0.09396,0.0220221328061869,0.00719274325661326,0.0076773910499162,0.00912873363494509
30,0.78536,0.04454,0.06668,0.10342,0.0244806590325233,0.00740573351457429,0.00846860870115826,0.0102486638695545
31,0.77196,0.04618,0.06902,0.11284,0.0267898488237616,0.00809523865546217,0.00909173006394028,0.0111610632707343
32,0.75848,0.04693,0.07234,0.12225,0.0291224541090433,0.0079771966671674,0.0101181025889245,0.0122761964793661
33,0.74459,0.0477,0.07457,0.13314,0.0314447469557494,0.00805136289360034,0.0103889952460391,0.0143590621792186
34,0.73053,0.04857,0.07739,0.14351,0.0341964276886734,0.00854570067343807,0.0111364716135767,0.0158455356488823
35,0.71694,0.04869,0.07987,0.1545,0.0369276830816364,0.00921272670458282,0.0117258546241486,0.016907394831848
36,0.70239,0.04972,0.08216,0.16573,0.0404005624273282,0.0100210666985994,0.0131613238104852,0.0182867924409334
37,0.68869,0.04977,0.08479,0.17675,0.0428671708109287,0.00956707896904797,0.0147285399442337,0.019708895340824
38,0.67462,0.05043,0.08642,0.18853,0.0451408610167477,0.00932488307939807,0.0152343763319088,0.021695265740607
39,0.65957,0.05182,0.08859,0.20002,0.0474145793330842,0.00933914105020133,0.0158867834657897,0.0236919020389293
40,0.6446,0.05263,0.0909,0.21187,0.0499896211450159,0.0103718690054718,0.0151296618160046,0.0259080446536935
41,0.63037,0.05269,0.09306,0.22388,0.0529176309623425,0.0108085819812057,0.0156785912065537,0.0276605937109897
42,0.61558,0.05313,0.09425,0.23704,0.0552852763199912,0.0103216116312651,0.016163968847065,0.0298371208024129
43,0.60109,0.05329,0.09541,0.25021,0.0574179888575387,0.0104864409808306,0.0164387381240505,0.0319949805091014
44,0.58665,0.05397,0.09597,0.26341,0.0599126818331849,0.0101787414633528,0.0172808210967471,0.0340193556017094
45,0.57278,0.053,0.09721,0.27701,0.0625958607080195,0.00992180539126938,0.0176081073498671,0.0364605860256433
46,0.55902,0.05295,0.09804,0.28999,0.0653698503389241,0.0104600031867427,0.0174452285740256,0.0391662113448711
47,0.5459,0.05182,0.09862,0.30366,0.0681404268975311,0.0102148910909515,0.0176237718248204,0.0421356855883466
48,0.5329,0.05103,0.09879,0.31728,0.0697204895756381,0.00940473285107025,0.0174873573379933,0.0447649614964402
49,0.52008,0.05046,0.09886,0.3306,0.0712219816255253,0.00881012044311667,0.0169509881717852,0.0471589981987649
50,0.50693,0.04999,0.09918,0.3439,0.0731961603425268,0.00899363355070933,0.0168152576218412,0.0488645065461629
51,0.49352,0.05015,0.09942,0.35691,0.0748247998104015,0.00797429899392069,0.0175049707226262,0.0509835801454198
52,0.48071,0.05015,0.09926,0.36988,0.0765033397963775,0.00776949161786021,0.0166845370861099,0.053480646551398
53,0.46793,0.04966,0.09949,0.38292,0.0779376966272134,0.00744926543731364,0.0171363453902322,0.0547761059019147
54,0.45581,0.04877,0.09972,0.3957,0.0795543762327239,0.00738211803391592,0.0172154194449821,0.0564651514948232
55,0.44341,0.04833,0.09866,0.4096,0.0808119140006252,0.00690330838559793,0.0163207570630505,0.0591479688765576
56,0.43193,0.04743,0.09798,0.42266,0.0815800363651141,0.00635610817333304,0.0162497726479822,0.0607989254291006
57,0.42041,0.04643,0.09729,0.43587,0.082765833664757,0.0058615602776811,0.0163939995797921,0.0621917473982235
58,0.40878,0.04588,0.09765,0.44769,0.0836163567199093,0.00566113455452566,0.0160356027499921,0.063853346732093
59,0.39785,0.04518,0.09699,0.45998,0.0838398108829504,0.00508937891866756,0.0158432214737618,0.0651206538323714
60,0.3866,0.04445,0.0956,0.47335,0.0838220602095759,0.00492978475978189,0.0150486618083543,0.0663355317893644
61,0.37621,0.04414,0.09362,0.48603,0.0845966173476615,0.00486671232855291,0.0141428270001282,0.0685105028444544
62,0.36713,0.04175,0.09347,0.49765,0.084919989140105,0.00543859663271081,0.0130480351862732,0.0701500970142673
63,0.35717,0.04068,0.09264,0.50951,0.0853973073996547,0.00512028645032027,0.0131976597252021,0.071227482991703
64,0.34725,0.04051,0.0912,0.52104,0.0856173950394038,0.00537265711212287,0.0125052877704682,0.072805894144789
65,0.3377,0.03966,0.09012,0.53252,0.0863906373527955,0.00552895409036224,0.013032762135821,0.0737918062298699
66,0.32847,0.03953,0.08784,0.54416,0.086217877109874,0.00456290599411287,0.0122581673453525,0.0750598161468572
67,0.31935,0.03875,0.08626,0.55564,0.0852477598271976,0.00499382952585822,0.0115012269876836,0.0764845401953159
68,0.31048,0.03819,0.085,0.56633,0.0849931997279782,0.0049383870511197,0.0110512945445821,0.0772370528524576
69,0.30211,0.03742,0.08364,0.57683,0.0844043107114007,0.00500573004998605,0.0104410727418211,0.0775851081071619
