TIME,s,e,i,r
411,4074,250,597,15079
412,4053,273,597,15077
413,4051,258,603,15088
414,4056,271,598,15075
415,4054,278,605,15063
416,4064,269,609,15058
417,4068,268,619,15045
418,4071,254,605,15070
419,4085,277,601,15037
420,4087,268,609,15036
421,4096,265,612,15027
422,4101,264,614,15021
423,4100,278,606,15016
424,4110,265,619,15006
425,4114,267,624,14995
426,4126,277,613,14984
427,4112,267,632,14989
428,4142,252,628,14978
429,4145,265,608,14982
430,4153,263,599,14985
431,4165,258,605,14972
432,4173,258,592,14977
433,4167,283,585,14965
434,4153,273,575,14999
435,4167,252,596,14985
436,4144,283,592,14981
437,4137,277,605,14981
438,4128,270,607,14995
439,4132,270,607,14991
440,4155,273,595,14977
441,4168,275,598,14959
442,4173,282,587,14958
443,4158,309,575,14958
444,4168,272,606,14954
445,4176,279,596,14949
446,4179,278,597,14946
447,4178,271,601,14950
448,4175,271,618,14936
449,4180,285,599,14936
450,4187,279,612,14922
451,4165,296,595,14944
452,4160,258,614,14968
453,4172,250,597,14981
454,4172,258,603,14967
455,4176,264,605,14955
456,4191,256,609,14944
457,4200,237,621,14942
458,4176,254,622,14948
459,4177,260,622,14941
460,4176,260,623,14941
461,4179,265,629,14927
462,4170,272,629,14929
463,4170,281,612,14937
464,4168,293,605,14934
465,4168,265,619,14948
466,4157,260,618,14965
467,4138,265,622,14975
468,4129,268,608,14995
469,4101,274,631,14994
470,4092,270,639,14999
471,4100,273,636,14991
472,4064,310,618,15008
473,4080,285,617,15018
474,4058,296,573,15073
475,4082,280,580,15058
476,4077,276,594,15053
477,4059,285,583,15073
478,4061,299,572,15068
479,4076,287,590,15047
480,4083,284,582,15051
481,4081,281,574,15064
482,4081,270,589,15060
483,4068,282,597,15053
484,4084,276,590,15050
485,4093,261,599,15047
486,4086,264,595,15055
487,4094,267,590,15049
488,4086,272,580,15062
489,4067,285,562,15086
490,4066,254,583,15097
491,4071,253,570,15106
492,4055,252,582,15111
493,4075,245,581,15099
494,4076,264,581,15079
495,4102,263,568,15067
496,4115,257,556,15072
497,4128,235,573,15064
498,4131,239,566,15064
499,4119,262,555,15064
500,4097,253,574,15076
501,4101,254,558,15087
502,4102,250,583,15065
503,4116,250,584,15050
504,4121,232,581,15066
505,4106,263,556,15075
506,4112,247,581,15060
507,4089,279,585,15047
508,4059,282,573,15086
509,4078,271,570,15081
510,4084,265,569,15082
511,4073,265,572,15090
512,4059,266,570,15105
513,4065,269,579,15087
514,4077,249,581,15093
515,4075,236,594,15095
516,4078,247,584,15091
517,4060,269,579,15092
518,4054,262,577,15107
519,4055,257,567,15121
520,4053,257,553,15137
521,4049,248,551,15152
522,4044,266,543,15147
523,4071,233,548,15148
524,4112,237,530,15121
525,4117,236,527,15120
526,4126,240,514,15120
527,4151,224,541,15084
528,4149,249,533,15069
529,4158,234,555,15053
530,4161,240,548,15051
531,4176,239,541,15044
532,4179,230,539,15052
533,4165,228,541,15066
534,4164,236,535,15065
535,4176,241,533,15050
536,4159,234,545,15062
537,4153,242,559,15046
538,4144,256,551,15049
539,4150,251,531,15068
540,4160,237,520,15083
541,4168,244,501,15087
542,4170,255,525,15050
543,4186,223,536,15055
544,4184,231,561,15024
545,4160,255,554,15031
546,4168,249,564,15019
547,4168,240,573,15019
548,4148,262,583,15007
549,4157,249,599,14995
550,4131,266,595,15008
551,4113,269,596,15022
552,4111,269,601,15019
553,4107,255,612,15026
554,4110,255,614,15021
555,4089,273,620,15018
556,4093,265,638,15004
557,4071,276,632,15021
558,4043,321,604,15032
559,4039,292,626,15043
560,4027,300,616,15057
561,4032,269,639,15060
562,4034,258,640,15068
563,4027,238,629,15106
564,4031,255,602,15112
565,4021,267,603,15109
566,4025,249,623,15103
567,4012,247,641,15100
568,4025,260,607,15108
569,4013,246,620,15121
570,3988,261,604,15147
571,3974,277,613,15136
572,3939,291,638,15132
573,3930,288,626,15156
574,3924,302,616,15158
575,3933,286,623,15158
576,3921,311,591,15177
577,3921,287,602,15190
578,3935,287,610,15168
579,3939,277,636,15148
580,3930,282,629,15159
581,3933,282,624,15161
582,3925,271,636,15168
583,3910,273,637,15180
