cycle,S,E,I,R
295,0.436174973847089,0.00636441653088449,0.01110215760405822,0.5463584520179683
296,0.435194275140078,0.00667005901447493,0.01164941354431476,0.5464862523011326
297,0.4340984128490187,0.00698748030128704,0.01222062774829687,0.546693479101398
298,0.4328836754458074,0.00731668517559221,0.01281627190102593,0.5469833674775749
299,0.43154643436213386,0.00765761343356573,0.0134367462381873,0.5473592059661134
300,0.43008317445752964,0.00801013244382306,0.0140823676934307,0.5478243254052166
301,0.42849052711889324,0.00837402955197648,0.014753357285447,0.5483820860436834
302,0.42676530591745665,0.0087490044335638,0.01544982681365003,0.5490358628353297
303,0.4249045446903272,0.00913466152011797,0.01617176495776671,0.5497890288317875
304,0.42290553784738205,0.00953050264419002,0.01691902290604467,0.5506449366023823
305,0.4207658826309462,0.00993592007019866,0.01769129966883379,0.5516068976300198
306,0.4184835229762144,0.01035019009829855,0.01848812726852618,0.552678159656959
307,0.4160567945361137,0.01077246744712278,0.01930885603258297,0.553861881984179
308,0.41348447034703345,0.01120178063720875,0.02015264025275829,0.5551611087629975
309,0.410765806523886,0.01163702860897763,0.02101842450953753,0.5565787403575962
310,0.4079005872870615,0.01207697881603704,0.02190493099489309,0.5581175029020051
311,0.40488916854330037,0.01252026703499814,0.02281064819715675,0.5597799162245414
312,0.40173251917099795,0.01296539912565027,0.0237338213373453,0.5615682603660036
313,0.39843225910196867,0.01341075495902588,0.02467244496473505,0.563484540974267
314,0.39499069325040376,0.01385459470461551,0.02562425812885543,0.5655304539161217
315,0.3914108403198078,0.01429506763105221,0.02658674254335402,0.5677073495057826
316,0.3876964555240324,0.01473022352667189,0.02755712414247963,0.5700161968068128
317,0.38385204629256076,0.01515802678766697,0.02853237840157335,0.5724575485181954
318,0.3798828800956151,0.01557637315287304,0.02950923974766185,0.5750315070038463
319,0.37579498362312724,0.01598310898700434,0.03048421532424413,0.5777376920656206
320,0.37159513268346456,0.01637605293051177,0.03145360329554143,0.5805752110904788
