time,S,E,I,R
96.0,0.12073160483991995,0.000853839037483231,0.003932199267217496,0.8744823568553795
97.0,0.12289361950686298,0.0008083331069238768,0.00366643546644787,0.8726316119197655
98.0,0.12506214212692482,0.0007660798237395527,0.00342207534434907,0.8707497027049867
99.0,0.12723644434697315,0.0007263303910998495,0.0031978008232330358,0.8688394244386941
100.0,0.12941576822534243,0.0006887746860143988,0.0029919561582057255,0.8669035009304376
101.0,0.1315993277906796,0.0006535293991330829,0.002802561484969806,0.8649445813252177
102.0,0.13378632186116018,0.0006210704967062335,0.0026273926774747344,0.8629652149646589
103.0,0.1359761660497252,0.0005910647356711258,0.0024653602598267497,0.8609674089547771
104.0,0.1381684014216076,0.0005628473256874801,0.0023159076151800856,0.858952843637525
105.0,0.1403625362119857,0.0005361046370185682,0.00217817234627251,0.8569231868047233
106.0,0.14255805424486195,0.0005108153180766104,0.00205105411473686,0.8548800763223248
107.0,0.144754414933063,0.00048725029542277636,0.0019332146411010424,0.8528251201304133
108.0,0.14695113255476583,0.00046558155878924113,0.0018235335749097665,0.8507597523115353
109.0,0.14914790747306858,0.00044528028914806686,0.0017217983061314256,0.8486850139316521
110.0,0.15134443147516627,0.00042600512434889606,0.0016276442585123683,0.8466019191419726
111.0,0.1535403715940747,0.0004076357190778608,0.001540511259005141,0.8445114814278425
112.0,0.15573537019690803,0.0003902722657198647,0.0014596440952215053,0.8424147134421508
113.0,0.1579290484087725,0.0003742188870522994,0.0013841116788206268,0.8403126210253548
114.0,0.1601211341306332,0.00035939048528368185,0.0013134885971980217,0.8382059867868853
115.0,0.1623114510689338,0.0003453860073257812,0.0012477568079733868,0.8360954061157673
116.0,0.16449979643440196,0.00033200009597964436,0.0011867093047767147,0.8339814941648419
117.0,0.16668594503874237,0.000319191760937172,0.001129986227379656,0.831864876972941
118.0,0.16886964929463663,0.000307084378781119,0.0010770748616955195,0.8297461914648869
119.0,0.17105064589687266,0.0002959349456293843,0.0010273446682228212,0.8276260744892753
120.0,0.17322877377334406,0.00028561371520922777,0.0009806361474574564,0.8255049763639895
121.0,0.17540392877853472,0.00027581941537205024,0.000937006193854195,0.8233832456122392
